dataset,seed,probability_calibration,n_samples,n_features,positive_rate,model_train_n,model_train_class_0,model_train_class_1,model_train_positive_rate,probability_calibration_n,probability_calibration_class_0,probability_calibration_class_1,probability_calibration_positive_rate,conformal_calibration_n,conformal_calibration_class_0,conformal_calibration_class_1,conformal_calibration_positive_rate,test_n,test_class_0,test_class_1,test_positive_rate
uci_default,42,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,101,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,101,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,101,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,202,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,202,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,202,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,303,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,303,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,303,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,404,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,404,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,404,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,505,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,505,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,505,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,606,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,606,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,606,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
bank_marketing,7,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,7,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,7,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,19,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,19,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,19,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,31,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,31,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,31,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,42,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,42,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,42,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,101,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,101,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,101,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,202,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,202,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,202,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,303,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,303,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,303,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,404,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,404,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,404,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,505,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,505,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,505,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,606,none,45211,16,0.11698480458295547,27126,23953,3173,0.11697264616972647,0,0,0,,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,606,sigmoid,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
bank_marketing,606,isotonic,45211,16,0.11698480458295547,21700,19162,2538,0.11695852534562212,5426,4791,635,0.11702911905639514,9042,7984,1058,0.11700951117009512,9043,7985,1058,0.11699657193409267
adult,7,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,7,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,7,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,19,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,19,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,19,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,31,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,31,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,31,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,42,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,42,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,42,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,101,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,101,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,101,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,202,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,202,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,202,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,303,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,303,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,303,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,404,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,404,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,404,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,505,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,505,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,505,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,606,none,48842,14,0.23928176569346055,29305,22293,7012,0.23927657396348745,0,0,0,,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,606,sigmoid,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
adult,606,isotonic,48842,14,0.23928176569346055,23444,17834,5610,0.23929363589831087,5861,4459,1402,0.23920832622419383,9768,7431,2337,0.23925061425061425,9769,7431,2338,0.23932848807452145
aps_failure,7,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,7,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,7,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,19,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,19,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,19,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,31,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,31,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,31,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,42,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,42,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,42,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,101,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,101,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,101,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,202,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,202,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,202,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,303,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,303,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,303,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,404,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,404,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,404,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,505,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,505,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,505,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,606,none,76000,170,0.018092105263157895,45600,44775,825,0.018092105263157895,0,0,0,,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,606,sigmoid,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
aps_failure,606,isotonic,76000,170,0.018092105263157895,36480,35820,660,0.018092105263157895,9120,8955,165,0.018092105263157895,15200,14925,275,0.018092105263157895,15200,14925,275,0.018092105263157895
diabetes130us,7,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,7,sigmoid,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,7,isotonic,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,19,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,19,sigmoid,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,19,isotonic,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,31,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,31,sigmoid,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,31,isotonic,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,42,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,42,sigmoid,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,42,isotonic,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,101,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,101,sigmoid,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,101,isotonic,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,202,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,202,sigmoid,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,202,isotonic,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,303,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,303,sigmoid,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,303,isotonic,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,404,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,404,sigmoid,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,404,isotonic,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,505,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,505,sigmoid,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,505,isotonic,101766,49,0.11159915885462728,48847,43396,5451,0.11159334247753189,12212,10849,1363,0.11161152964297412,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
diabetes130us,606,none,101766,49,0.11159915885462728,61059,54245,6814,0.11159697997019276,0,0,0,,20353,18082,2271,0.11158060236820125,20354,18082,2272,0.11162425076152108
